start,State,mean,Min,Max
2023-06-26 07:00:00,,0.2857017938986111,0.216,0.403
2023-06-26 08:00:00,,0.4465561917175,0.175,4.407
2023-06-26 09:00:00,,0.4053486461127778,0.217,0.646
2023-06-26 10:00:00,,0.3438723413102778,0.186,3.415
2023-06-26 11:00:00,,0.43486508956555553,-0.545,3.434
2023-06-26 12:00:00,,0.4131015197561112,-0.076,3.121
2023-06-26 13:00:00,,0.3045708118002778,0.164,0.446
2023-06-26 14:00:00,,0.3367420196666666,0.216,1.485
2023-06-26 15:00:00,,0.2686553545913889,0.132,1.541
2023-06-26 16:00:00,,0.2642354361522223,0.167,0.39
